City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
324,Parana,AR,75.0,light rain,-31.732,-60.5238,Howard Johnson Plaza Hotel Mayorazgo
325,Itarema,BR,83.55,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
326,Ambulu,ID,75.92,light rain,-8.345,113.6058,Hotel Ambulu Jember
327,El+Alto,PE,87.8,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
330,Sao+Gabriel+Da+Cachoeira,BR,90.19,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
331,Karratha,AU,87.44,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
336,Janauba,BR,88.93,clear sky,-15.8025,-43.3089,Ouro Norte Palace Hotel
337,Tumaco,CO,82.0,light rain,1.7986,-78.8156,Dafneruben
338,Santa+Rita+Do+Sapucai,BR,78.12,overcast clouds,-22.2522,-45.7033,Carlito's Hostel
340,Saint-Leu,RE,78.01,clear sky,-21.15,55.2833,La Caz Oceane
342,Port+Macquarie,AU,70.0,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
348,Pisco,PE,80.6,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
352,Panalingaan,PH,76.42,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
354,Pangkalanbuun,ID,73.24,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
355,Tuy+Hoa,VN,70.11,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
357,Lethem,GY,90.03,few clouds,3.3803,-59.7968,Savannah Inn
358,Vallenar,CL,86.81,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
360,Luanda,AO,80.6,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
363,Seminole,US,73.0,few clouds,28.7086,-81.2081,WHITNEY-WOLCOTT HOUSE ON LAKE CHARM
367,Lumut,MY,75.2,few clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
368,Palmares+Do+Sul,BR,81.19,broken clouds,-30.2578,-50.5097,Restaurante e Pensão Lopes
370,Pitimbu,BR,82.4,few clouds,-7.4706,-34.8086,Reserva do Abiaí
376,Pedreiras,BR,77.43,very heavy rain,-4.5688,-44.6003,Hotel Princesa do Mearim
377,Vila+Velha,BR,82.4,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
378,Kapit,MY,73.56,moderate rain,2.0167,112.9333,Hotel Meligai Kapit
380,Coahuayana,MX,87.8,scattered clouds,18.7333,-103.6833,Hotel Los Arcos
383,Poso,ID,78.01,light rain,-1.3959,120.7524,Hotel 77 Poso
386,Ipixuna,BR,84.2,broken clouds,-1.7625,-48.8043,Casa da Oscarina
389,Wajir,KE,84.72,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
392,Sharjah,AE,71.01,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
395,Dingle,PH,71.19,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
396,Carnarvon,AU,80.6,clear sky,-24.8667,113.6333,Hospitality Carnarvon
398,Pringsewu,ID,72.09,broken clouds,-5.3582,104.9744,Urban Style by Front One
399,Houma,US,73.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
